Ime objekta,Podrijetlo imena
Grabovnik,preuzeto kao lokalni naziv
Jama u Kovarinovoj dragi,smišljeno prema toponimu
Normalnofobija,smišljeno novo
Balvan žliba,smišljeno novo
Mala Hajdova hiža,nepoznato podrijetlo
Morska špilja kod rta Uplovac,smišljeno prema toponimu
Parkiruša,smišljeno novo
Petnajstica,smišljeno novo
Jama pod Jarebinjakom 2,smišljeno prema toponimu
Pećina nad Globokim dolcima,smišljeno prema toponimu
Kava,nepoznato podrijetlo
Jama iznad prozorčića,nepoznato podrijetlo
Špilja na Bračića gredi,smišljeno prema toponimu
Špilja-izvor Klarino,preuzeto iz literature
Mikulićka,preuzeto kao lokalni naziv
I3,smišljeno novo
Puževa jama,smišljeno novo
Otrpana jama s Nijemcima,smišljeno novo
Pećina ispod starog grada Bužima,smišljeno novo
Dvaput je dvaput,smišljeno novo
Češnjovka,smišljeno novo
Špilja na Podinama,smišljeno prema toponimu
Špilja na Tavanu,smišljeno prema toponimu
Mono,smišljeno novo
Jama na Lipovice,smišljeno prema toponimu
Totinka,preuzeto kao lokalni naziv
Dragina pećina na Dobri,preuzeto kao lokalni naziv
Jama u Konjikuši gornjoj,smišljeno prema toponimu
Bezna,preuzeto kao lokalni naziv
Jama s mostom,smišljeno novo
Tončičova pećina,preuzeto kao lokalni naziv
Biljan dolac,smišljeno prema toponimu
Poskokova jama,smišljeno novo
Bilulja,preuzeto kao lokalni naziv
Prkička 4,smišljeno novo
Sportić,smišljeno novo
Šuplja čarapa,smišljeno novo
Tri kule,smišljeno novo
Markova špilja,preuzeto kao lokalni naziv
Pećina Loza,preuzeto kao lokalni naziv
Krulićeva jama,preuzeto kao lokalni naziv
Kolo od tonobila,smišljeno novo
HD3,smišljeno novo
Laganiši,smišljeno prema toponimu
Plitvička špilja,smišljeno prema toponimu
Jamasutra,smišljeno novo
Krušljivka,smišljeno novo
Špilja na Strmici,smišljeno prema toponimu
Štojsova jama 1,preuzeto kao lokalni naziv
Špilja predpeć,preuzeto kao lokalni naziv
Jama za greben,smišljeno prema toponimu
(V)Lažna kapelica,smišljeno novo
Juretova pećina,preuzeto kao lokalni naziv
Medina golica,smišljeno prema toponimu
Jama u stine,preuzeto kao lokalni naziv
Jama S-2,preuzeto iz literature
Jama Ukr 6,smišljeno novo
Klaustrofobija,smišljeno novo
Jama Petrovski dolci,smišljeno prema toponimu
Jama odustaše,smišljeno novo
Ljuta vlaj'na,smišljeno novo
Ipak jama,smišljeno novo
Jama kod crkve Sv Nikole,smišljeno novo
Prvača,preuzeto kao lokalni naziv
Jasenjak,smišljeno prema toponimu
Vranjača kod Medviđe špilje,smišljeno prema toponimu
Hašiš Brigada,smišljeno novo
"Idi mi, dođi mi",smišljeno novo
Golubnjača,preuzeto sa karte
Lipa na Protulipi,nepoznato podrijetlo
Kukelj sjever,smišljeno prema toponimu
Dušmana peć,smišljeno novo
Polupećina Široko,smišljeno prema toponimu
Mala propast,smišljeno novo
4M,smišljeno novo
Tisina špilja,smišljeno novo
Medna muha,smišljeno novo
Razvala,smišljeno prema toponimu
Pećina Luka,preuzeto kao lokalni naziv
Špilja lijeva,smišljeno novo
Jama pod Sv. Spasom,smišljeno prema toponimu
Dvostruka nevolja,smišljeno novo
Špilja u uvali Domaglina,preuzeto kao lokalni naziv
Jama u šumi uvale Bjejajka,smišljeno prema toponimu
Galovićeva jama,smišljeno novo
Jama kod Tuka,smišljeno prema toponimu
Dopolanščica,preuzeto iz literature
Cikavica,preuzeto kao lokalni naziv
Špilja pod Tušom,smišljeno novo
Stara ledenica,preuzeto kao lokalni naziv
Male ponte,preuzeto kao lokalni naziv
Dolača,preuzeto kao lokalni naziv
Mala škuja kod Mirakula,smišljeno novo
Izvor špilja kod Jurjevića,smišljeno prema toponimu
Jama LV3,smišljeno prema toponimu
Bubnjavača,preuzeto kao lokalni naziv
Kaverna B1,smišljeno novo
Golubnjača nad Manastirom Krka,preuzeto kao lokalni naziv
Trojama,preuzeto kao lokalni naziv
Jama više vodospreme,smišljeno novo
Stupina jama,preuzeto kao lokalni naziv
Jama na Balunu,preuzeto iz literature
Mala jama u Lađevačkom Selištu,smišljeno prema toponimu
Čukova pećina,preuzeto kao lokalni naziv
Peć pod Krogom,smišljeno prema toponimu
Jama u Budovoj ogradi,preuzeto kao lokalni naziv
Špilja u uvali Lučica,smišljeno prema toponimu
Izvor spilja Siga,smišljeno prema toponimu
Jama bez spita,smišljeno novo
Jama u minusu,smišljeno novo
Sveta Lucija,preuzeto kao lokalni naziv
Pećina Zelena trava,smišljeno prema toponimu
Špilja kod Prvan Sela,smišljeno prema toponimu
Jama na Kapužnjak,smišljeno prema toponimu
Pećina iznad malog Borušnjaka,smišljeno prema toponimu
Kojići pećina 3,smišljeno prema toponimu
Mala jamica,smišljeno novo
Špilja na Katini,smišljeno prema toponimu
Jama u Praprotnoj dragi,smišljeno prema toponimu
Dupla jama pod kampom,smišljeno novo
Ledena špilja,preuzeto sa karte
Zubanova jama,preuzeto kao lokalni naziv
Na Svi Sveti dan,smišljeno novo
Ciganska špilja,preuzeto kao lokalni naziv
Jama u vrtači,smišljeno novo
Jama u čelu,preuzeto kao lokalni naziv
Jama Mirela,smišljeno novo
James Bond,smišljeno novo
Jama kod Opaljenog vrška,smišljeno prema toponimu
Slučajnica,smišljeno novo
Znetva u Dragama,smišljeno prema toponimu
Slinavica,smišljeno novo
Pseudo Kvačica,smišljeno novo
Liluša,preuzeto kao lokalni naziv
Rupa za posadit pomidore,smišljeno novo
Jama iza okretaljke,smišljeno novo
Pražića jaruga,smišljeno prema toponimu
Anura,smišljeno novo
Pećina kod sela Puhari,smišljeno prema toponimu
Golubinka kod Dugorepe,preuzeto iz literature
Trapo,smišljeno novo
Špilja pod Japaginama,smišljeno novo
Novogodišnja jama,smišljeno novo
Jama Sova,smišljeno novo
Jama s pogledom,smišljeno novo
Maloselska špilja,smišljeno prema toponimu
Prozor u dvorište,smišljeno novo
Lager jama,smišljeno novo
Špiljica Gospinog ukazanja na Debeljaku,preuzeto kao lokalni naziv
Bezdanka kod Ivančevića ograde,preuzeto kao lokalni naziv
DG6,smišljeno prema toponimu
Karijes,smišljeno novo
Prstac,smišljeno novo
Tonijeva prva,smišljeno novo
G14,smišljeno novo
Naopako uže,smišljeno novo
Kune spilja,smišljeno novo
Golubnjača iznad Surli,preuzeto kao lokalni naziv
Jama na Trovri,smišljeno prema toponimu
Špilja Lidarka,smišljeno novo
Jama u Brajde,smišljeno prema toponimu
Sanjina jama u Kajićima,smišljeno prema toponimu
Jama Vlatke patke,smišljeno novo
Iglu,smišljeno novo
Jama u Rabuzinovoj šumi,preuzeto kao lokalni naziv
Jožina ulazna zamka,smišljeno novo
Polušpilja u kanjonu Jadove,smišljeno novo
Sopekica,smišljeno novo
Jama poli Jami,preuzeto kao lokalni naziv
Kakuša,smišljeno novo
Nova nada,smišljeno novo
Jama mali medenko,smišljeno novo
Mala špilja pored Vrlovke,preuzeto kao lokalni naziv
"Špilja iznad ""mosta""",preuzeto iz literature
Zlatne godine,smišljeno novo
Jama u Potkalaču,smišljeno prema toponimu
Mala jama,smišljeno novo
Jedva špilja,smišljeno novo
Pećina nasuprot drniške gradine,smišljeno prema toponimu
Vukulja,preuzeto kao lokalni naziv
Bumbarova špilja,smišljeno novo
Bralina jama,smišljeno novo
Mala jama na Pištenici,smišljeno prema toponimu
Vratolomka,preuzeto kao lokalni naziv
Pećina pod Jamicu,smišljeno prema toponimu
Pavlovića pećina,preuzeto kao lokalni naziv
Ivkina jama pod Panosom,smišljeno prema toponimu
Dokozinka 2,smišljeno prema toponimu
Priša,smišljeno novo
Perin pupak,smišljeno novo
Špilja živjeli mladenci,smišljeno novo
Skusača jama,smišljeno novo
SK-20 (Jama pod okomitom smrekom),preuzeto iz literature
Leteće glondže,smišljeno novo
Kopačica,smišljeno novo
Skriveni prolaz,smišljeno novo
Podstreh,smišljeno novo
Perčevica,preuzeto sa karte
Marasova pećina,preuzeto kao lokalni naziv
Papilon,smišljeno novo
Tandaraća,smišljeno novo
Potkova,smišljeno novo
Kenjac,smišljeno novo
Pljuvačnica,smišljeno novo
Firnetaljka,smišljeno novo
Keserka,smišljeno novo
Nikolićeva 2,smišljeno novo
Dionizov dah,smišljeno novo
Jama uz cestu,smišljeno novo
Dedina špajza,smišljeno novo
Senovac,smišljeno prema toponimu
Dvi bumbe,smišljeno novo
Zatkarska jama,smišljeno prema toponimu
Špilja na Kuča gori,smišljeno prema toponimu
Jamura,preuzeto kao lokalni naziv
Mostača,preuzeto sa karte
Jama Obitl,smišljeno novo
Školska jama,smišljeno novo
Jama pul Obadoveh umejki,nepoznato podrijetlo
Treća pećina u gredi,smišljeno novo
Jama na Goskovu,smišljeno prema toponimu
Poilo,preuzeto kao lokalni naziv
Juraševa pećina,preuzeto kao lokalni naziv
Tvrda rupa,smišljeno prema toponimu
Smrdulja,smišljeno novo
Jama na maloj Opatijici,smišljeno prema toponimu
Panos 2,smišljeno prema toponimu
Čekina jama,preuzeto sa karte
Ančića mala Golubinka,smišljeno prema toponimu
Vrelo Une,preuzeto kao lokalni naziv
Kikiriki kokice,smišljeno novo
Zvekača,preuzeto kao lokalni naziv
Paški trokut,preuzeto kao lokalni naziv
Šestica,smišljeno novo
Borovnik,smišljeno prema toponimu
Špilja pod Mačkovom dragom,smišljeno prema toponimu
Kora Nero,smišljeno novo
Jama Makljen 2,smišljeno prema toponimu
Jama kod Trogrla,smišljeno prema toponimu
Izvor Krupe,smišljeno prema toponimu
Buba,smišljeno novo
Greben spašenih,smišljeno novo
Brlog 2,smišljeno novo
Velika špilja kod Neorića,smišljeno prema toponimu
Mafrid 2,preuzeto kao lokalni naziv
Jelova špilja,smišljeno novo
Šimunkovića špilja,preuzeto kao lokalni naziv
Špilja u mojoj dulibi,smišljeno novo
Niš,smišljeno novo
Jama 8 Nijemaca kod Cvijanovića,smišljeno prema toponimu
Mala špilja u Topoljskom buku III,smišljeno novo
Jakina špilja,smišljeno novo
Špilja podno Samogreda,smišljeno prema toponimu
Jama kod Nugla,smišljeno prema toponimu
Jama Bajnica,preuzeto kao lokalni naziv
Jama pod Travnik,smišljeno prema toponimu
Spilja iznad izvora 2,smišljeno prema toponimu
Mravinjuša,preuzeto kao lokalni naziv
Špilj pod Lepinom,smišljeno prema toponimu
Kanedo,smišljeno prema toponimu
Kukelj 1,smišljeno prema toponimu
Vela jama,preuzeto kao lokalni naziv
Jama na Kosi,smišljeno prema toponimu
Osna špilja,smišljeno novo
Buža d.d.,smišljeno novo
Anina perspektiva,smišljeno novo
Ranogajka,smišljeno prema toponimu
Mag,smišljeno prema toponimu
Špilja pod Mirković vrhom,preuzeto kao lokalni naziv
Golubinka u Putičanjima,smišljeno prema toponimu
Bliznica,preuzeto kao lokalni naziv
Jama Zlato moje,smišljeno novo
Jama za Trišćenicu,smišljeno prema toponimu
Špilja u Špejarovim lugovima 2,smišljeno prema toponimu
Caverna Pipistrelli,preuzeto iz literature
Jama u Šarinoj dragi,preuzeto kao lokalni naziv
Jama kod tornja,smišljeno novo
Salopekova špilja,preuzeto kao lokalni naziv
Golubinka iza Puplja,preuzeto kao lokalni naziv
Jama kod sela Bani,smišljeno prema toponimu
Vražja peć,smišljeno novo
Kuja mala,smišljeno novo
Špilja kod Vrane,smišljeno prema toponimu
Špilja pod bregom,smišljeno novo
Jama u Bučinom dolcu,smišljeno prema toponimu
Špajza pored Dekleove,smišljeno prema toponimu
Prpina jama,smišljeno novo
Jama na Sopačici,smišljeno prema toponimu
Veliki seronja,smišljeno novo
Sedrena špilja Skrivenuša,smišljeno novo
Jama na Brekalcima,preuzeto kao lokalni naziv
Sarića pećina,preuzeto sa karte
Jama kod Kadijine bukve,smišljeno prema toponimu
Mali Kusoček,smišljeno novo
Jama Bliznice 2 kod Semića,smišljeno novo
Jama na Gušte,smišljeno prema toponimu
Drenovača,preuzeto kao lokalni naziv
Kikačova špilja,smišljeno novo
Osinjak jama,smišljeno novo
Grlić,smišljeno novo
Bjelička špilja,smišljeno prema toponimu
Crno jezero,preuzeto kao lokalni naziv
Pavlova jama,preuzeto iz literature
Skavnice Orihi,smišljeno prema toponimu
Keranova jama pod Vlakom,preuzeto kao lokalni naziv
Jama Šumarija,smišljeno novo
Lugarevo srce,preuzeto kao lokalni naziv
Jama u Šobotovom točilu,smišljeno prema toponimu
Elinih 20,smišljeno novo
Jama Šjalovica,preuzeto kao lokalni naziv
Jama pročelnika Morisa,smišljeno novo
Samarnjača,preuzeto sa karte
Markarova špilja,preuzeto kao lokalni naziv
Kumova jama,smišljeno novo
Norvežanka,smišljeno novo
Mala Duliba,smišljeno prema toponimu
Xantipa,preuzeto iz literature
Puzigaće,smišljeno novo
Jama iznad Striginih dolina,preuzeto iz literature
Golubnjača Čojluk,preuzeto kao lokalni naziv
Pećina na Širokom 2,smišljeno prema toponimu
Velika jama poviše Tornja,preuzeto kao lokalni naziv
Glonđa,smišljeno novo
Bezdanica u Bariloviću,preuzeto kao lokalni naziv
Medo,smišljeno novo
Medina jama,smišljeno novo
Kaluđerska pećina,preuzeto sa karte
Zarušenica,smišljeno novo
Frižider,preuzeto iz literature
Kamenica,preuzeto kao lokalni naziv
Ovčji dom u uvali Seline,smišljeno prema toponimu
Brlog u Malom Prožlobu,smišljeno prema toponimu
Jama udarne divizije BiH,smišljeno novo
Jama na Mratinu,smišljeno prema toponimu
Mlohava špilja 1,smišljeno novo
Ispred jame Ćuprija,smišljeno novo
Ništ,smišljeno novo
Špilja kod Orašačkog mola 3,smišljeno prema toponimu
Srkić 2,smišljeno novo
Baba jama,preuzeto kao lokalni naziv
Špilja Los Antonio,smišljeno novo
Duplja,preuzeto kao lokalni naziv
Špilja u Žarmi,smišljeno prema toponimu
Crvuljak,smišljeno novo
EKG 05-783,smišljeno novo
Staje 5,smišljeno prema toponimu
Lakat pećnica,smišljeno novo
Boškova pećina,preuzeto kao lokalni naziv
Bljuvačnica,smišljeno novo
Slowmotion,smišljeno novo
Jama u kamenolomu Mrzlo polje,smišljeno prema toponimu
Špilja na Supljaku,preuzeto kao lokalni naziv
Zrnići jama 2,smišljeno prema toponimu
Špilja kod Novkovića,smišljeno prema toponimu
Jama D Pariškeks,smišljeno novo
Barićeve špilje,preuzeto kao lokalni naziv
Špilja pod Samolovskim vrhom,smišljeno prema toponimu
Veljina golubinka,smišljeno novo
Mala špilja u izvoru Bučak,smišljeno prema toponimu
Špilj,preuzeto iz literature
Dujina jama,preuzeto iz literature
Crikvena 14,smišljeno prema toponimu
Girls hole,smišljeno novo
Pećina s pijeskom mala,smišljeno prema toponimu
Rildo,smišljeno prema toponimu
Jama u Lađenoj gredi,smišljeno prema toponimu
Pićanova jama,preuzeto kao lokalni naziv
Velika Kost,smišljeno novo
Jama pod Počiteljskim vrhom,smišljeno prema toponimu
Japlenovac,smišljeno prema toponimu
Bimiyo,smišljeno novo
Jama ispod odlagališta Osojnica,smišljeno prema toponimu
Meandar vječitog srndaća,smišljeno novo
Liščevica,smišljeno novo
Ledenica na Otešu,preuzeto kao lokalni naziv
Jama na vrh Krčevina,preuzeto kao lokalni naziv
Špilja iznad Bandinog ponora,smišljeno novo
Kapetanov pad,smišljeno novo
Tigrasta špilja,smišljeno novo
Ilijin bunker,preuzeto kao lokalni naziv
Anina pipica,smišljeno novo
Klanac pećina,smišljeno prema toponimu
Poznanka,smišljeno novo
Jama Velika Golubinka,preuzeto kao lokalni naziv
Pećina pod Oknom 2,smišljeno prema toponimu
Ofto špilja,smišljeno novo
Clover Cave,smišljeno novo
Generalka,smišljeno novo
Bunar jama ispod puta,nepoznato podrijetlo
Mlohavi borer,smišljeno novo
Špilja kraj Vrška,smišljeno prema toponimu
Poskokuša,smišljeno novo
Pećina pod Tihovinje,smišljeno prema toponimu
Špilja u Staroj Kršlji,smišljeno prema toponimu
MG-1,smišljeno novo
Velika pećina u šumi Aćimovac,smišljeno prema toponimu
Jambrićeva špilja,preuzeto kao lokalni naziv
Jesejanka,smišljeno prema toponimu
Bijeli potok,smišljeno prema toponimu
Šetićeva pećina,preuzeto kao lokalni naziv
Marmelada,smišljeno novo
Grmanova jama,preuzeto kao lokalni naziv
Strguljin grad 3,smišljeno prema toponimu
Tuljac jama,smišljeno novo
Ledenica u Čudinoj uvali,preuzeto kao lokalni naziv
Špilja Zorin spit,smišljeno novo
Jama pod Gradinovcem,smišljeno prema toponimu
Barina jama,preuzeto kao lokalni naziv
Jezero,preuzeto kao lokalni naziv
Ubodna,smišljeno novo
Špilja iznad Špilje iznad crkvice Gospe od Luga,smišljeno prema toponimu
Brana špilja,preuzeto kao lokalni naziv
Po 4,smišljeno novo
Badanj 1,smišljeno prema toponimu
G39,smišljeno novo
Bezdan,preuzeto kao lokalni naziv
Jama pod križem 2,smišljeno novo
Jama u Vetvi,smišljeno prema toponimu
Bošiš,smišljeno novo
Krešina jama,smišljeno novo
Spilja ekonoma Marka,smišljeno novo
Rebica,preuzeto kao lokalni naziv
Jama u Dolini,smišljeno prema toponimu
Snežnica u Velim Sapcima,smišljeno prema toponimu
Jama na Poklonu,smišljeno prema toponimu
Jama SDB,smišljeno novo
Put u Agartu,smišljeno novo
K1,smišljeno novo
Špilja izvor Krke / HE Krčić,preuzeto iz literature
Jamorinke,preuzeto kao lokalni naziv
Špilja u Pupnatskoj luci,smišljeno prema toponimu
Stara jama,smišljeno novo
Jama u Gajini,preuzeto iz literature
Mana  I,preuzeto iz literature
Jametina,smišljeno novo
Leina rukavica,smišljeno novo
Kaverna Škurinje 131122,smišljeno prema toponimu
Gin,smišljeno novo
Peta špilja,smišljeno novo
Okrugla Pajina jama,preuzeto kao lokalni naziv
Jama pod grabom u Barama,smišljeno prema toponimu
Pećina Kuzmin meandar,smišljeno novo
Ledomat,smišljeno novo
Atentat,smišljeno novo
Vrtilica,smišljeno novo
Nezgodna jama,smišljeno novo
Špilja pored Bombastične,smišljeno novo
Zbunjola,smišljeno novo
Gornja špilja u ploči,smišljeno novo
Jama pod Crnim vrhom 1,smišljeno prema toponimu
Jama pod lišajem,smišljeno novo
Banov dolac,smišljeno prema toponimu
Dokozinka 1,smišljeno prema toponimu
Jama na cesti,smišljeno novo
Petunija,smišljeno novo
Konavoske majice,smišljeno novo
Špilja kod kapije iznad Omble,smišljeno prema toponimu
Poli Jame,smišljeno novo
Višnjička špilja,smišljeno prema toponimu
Kod vode 3,smišljeno prema toponimu
Lisičja jama,preuzeto kao lokalni naziv
Markov ponor,preuzeto kao lokalni naziv
Trojita,smišljeno novo
Špilja u sloju,smišljeno novo
Pusi,smišljeno novo
Jama kod Golog Vrha,smišljeno prema toponimu
Zlatkova,smišljeno novo
Hil,smišljeno novo
Otrpana jama u Razdolju,smišljeno prema toponimu
Jezerce,smišljeno novo
11 metara smeća,smišljeno novo
Soba s pogledom,smišljeno novo
Galovićka,smišljeno prema toponimu
Špilja pazi glavu,smišljeno novo
Strguljin grad 2,smišljeno prema toponimu
Pećina u Brezovcu,preuzeto kao lokalni naziv
Kaćunko,smišljeno prema toponimu
Židovske kuće,preuzeto kao lokalni naziv
Jama bez imena,smišljeno novo
Pusti me proć,smišljeno novo
Medina pećina,preuzeto kao lokalni naziv
Vočnjak - 30. mart,smišljeno novo
Slatka tajna,smišljeno novo
Jelenkova jama,smišljeno novo
Jama Efelem,smišljeno novo
jama na Mrtološkoj kosi,smišljeno prema toponimu
Štrikinica,preuzeto kao lokalni naziv
Mrva,smišljeno novo
Jazinka,preuzeto kao lokalni naziv
Strelica špilja,smišljeno novo
Jama pod gredom,smišljeno novo
Špilja pod Blatačkim brigom,preuzeto iz literature
Kupići pećina,preuzeto kao lokalni naziv
Beneton,smišljeno novo
Mlitava tika,smišljeno novo
Mala Školjka,smišljeno prema toponimu
Bunetova jama,preuzeto kao lokalni naziv
Ivaničina pećina,preuzeto kao lokalni naziv
Lepojkina izba,smišljeno novo
Muratova špilja,preuzeto kao lokalni naziv
Trpeza,smišljeno novo
Jama na Strmcu,smišljeno prema toponimu
Ledena siga,smišljeno novo
Jama na Zborištima,preuzeto kao lokalni naziv
Špilja kod Radočaja,smišljeno prema toponimu
Veno,smišljeno novo
Velika Kozarica,preuzeto kao lokalni naziv
Crekvica 2,smišljeno novo
Jama kod vrha Široko,smišljeno prema toponimu
Golubinka kod Kladnjica,preuzeto kao lokalni naziv
Bazgovača,preuzeto kao lokalni naziv
Jama 5-6 uboda,smišljeno novo
Golubinka,preuzeto kao lokalni naziv
Špilja u Stepićima,smišljeno prema toponimu
Srebrna buba,smišljeno novo
Mala Mekinjača,smišljeno prema toponimu
Rakovice 1,smišljeno prema toponimu
PB jama,smišljeno novo
Jama Bliznice 2,preuzeto kao lokalni naziv
Jama Dragi na Puževom bregu,nepoznato podrijetlo
Gospetova jama,smišljeno prema toponimu
Krvavo koleno,smišljeno novo
Klada jama,smišljeno novo
Jesemti kola,smišljeno novo
Sopača,preuzeto kao lokalni naziv
Pećina kod Zvonika 2,smišljeno prema toponimu
Jama u Kovanicama,smišljeno prema toponimu
Špilja nad Ručicom,smišljeno prema toponimu
Jama s efektom,smišljeno novo
Špilja Parenzana II,smišljeno novo
Jama pod Perovaćom,smišljeno prema toponimu
Mala Kranjska pećina,smišljeno prema toponimu
Zečica,preuzeto kao lokalni naziv
Staje 12,smišljeno prema toponimu
Sotinska špilja,smišljeno prema toponimu
Mračna pećina,preuzeto kao lokalni naziv
Špilja 505,smišljeno novo
Podestà,smišljeno novo
Jama pod Tihovinje III,smišljeno novo
Radoznalka,smišljeno novo
Tuljan,preuzeto kao lokalni naziv
Jama u Ljubačkom polju,smišljeno prema toponimu
Špilja u Šušnjaru,smišljeno prema toponimu
Medvjedina špilja,preuzeto kao lokalni naziv
Špilja Tradanj,smišljeno prema toponimu
Špiljica nad Manojlovačkim slapom,smišljeno prema toponimu
Sklenica špilja,preuzeto kao lokalni naziv
Go Pro,smišljeno novo
Crvena pećina,preuzeto kao lokalni naziv
Spilja poviše Lemiša,smišljeno prema toponimu
Lešani konop,smišljeno novo
ČD 10,smišljeno prema toponimu
Vlaguša,smišljeno novo
Jama kod Korita,preuzeto kao lokalni naziv
Fau 2 - V2,smišljeno novo
Lasina jama,preuzeto kao lokalni naziv
Štipaljka na Dugarišću,smišljeno prema toponimu
Vilina kamara 2,preuzeto kao lokalni naziv
Jama iznad Pražića jaruge,smišljeno prema toponimu
Golubinka kod Putnika,smišljeno prema toponimu
Jama 13c,smišljeno novo
Riđa propast,smišljeno novo
Likovna akademija,smišljeno novo
Vodonoša,smišljeno novo
Vilska jama,preuzeto sa karte
Jama na stijeni,smišljeno novo
Karišnica,preuzeto kao lokalni naziv
Jama na Bumbarici,smišljeno prema toponimu
Jama na flišu,smišljeno novo
Tjeskobni kuloar,smišljeno novo
Golubnjača,preuzeto kao lokalni naziv
Lu,smišljeno novo
Špilja galeba Marka,nepoznato podrijetlo
Dražića draga 1,smišljeno prema toponimu
Geni geni Koreni,smišljeno prema toponimu
Što sam ja sve crt'o,smišljeno novo
Crekvica 3,smišljeno novo
Dvolična jama,preuzeto kao lokalni naziv
Špilja u Hajdučkoj drazi,preuzeto kao lokalni naziv
Špilja u Desmericama,smišljeno prema toponimu
Grbina pećina,preuzeto kao lokalni naziv
Hajdučki kuk 7,smišljeno novo
Jama u Bazgovoj dragi,preuzeto kao lokalni naziv
Jama pod Dulišinovcem,smišljeno prema toponimu
Balinka,preuzeto kao lokalni naziv
Jama u Jeline Dražice,preuzeto iz literature
Betina jama,smišljeno novo
Zidane pećine,preuzeto kao lokalni naziv
Ciginovac 2,smišljeno prema toponimu
Most,smišljeno novo
Snježna pukotina,smišljeno novo
Zaklon podno Samograda,smišljeno prema toponimu
Galerija,smišljeno novo
Antina špilja,preuzeto kao lokalni naziv
Jama na Marinovici,smišljeno prema toponimu
Zečica,preuzeto kao lokalni naziv
Špilja na vrhu,smišljeno novo
Uska jama,smišljeno novo
Kovačica,smišljeno prema toponimu
Jama u Bjelovljovim dragama,smišljeno prema toponimu
Papovka,smišljeno novo
Jama pod Tihovinje 2,smišljeno prema toponimu
Jessikina špilja,smišljeno novo
Jama u Velikom Desajdubu,smišljeno prema toponimu
Plavinka,preuzeto kao lokalni naziv
Pećina iznad Mrčeva,smišljeno prema toponimu
Izvor špilja pod Velim Vrhom,smišljeno prema toponimu
Špilja na gradini Zaskok,smišljeno prema toponimu
A-4,preuzeto iz literature
Ukradeni 420,smišljeno novo
Bižotova buža,smišljeno novo
Jamina pod Piskom,smišljeno prema toponimu
Podvratnik va Ruškini jami,smišljeno prema toponimu
Jama Gimnazijalka,smišljeno novo
Špiljnica,smišljeno novo
Jama na Medovini,preuzeto kao lokalni naziv
Jama u Magarni,smišljeno prema toponimu
Na platou ćuprija,smišljeno novo
Velika peć,preuzeto iz literature
Bunar jama Gangaro,smišljeno prema toponimu
Visibaba Srkilica,smišljeno novo
Pećina Medulin,smišljeno prema toponimu
Grizeljeva jama,preuzeto kao lokalni naziv
Jurova jama,preuzeto kao lokalni naziv
Pećina u Topolovcu,smišljeno prema toponimu
Frizer jama,smišljeno novo
Pegula,smišljeno novo
Cvetličanka,smišljeno prema toponimu
Licimurka,smišljeno novo
Dolačina sestrica,smišljeno novo
Špilja s macom,smišljeno novo
Bukva ne voli ljuto,smišljeno novo
Šesnaest,smišljeno novo
Jama iznad Hajduković barice,smišljeno prema toponimu
Smočnica,smišljeno novo
Javorica,preuzeto kao lokalni naziv
Dragina lipa jama,smišljeno novo
Kandža,smišljeno novo
Jama Milivoja Juranova,smišljeno novo
Kutina,preuzeto kao lokalni naziv
Špilja HC kratki rukavi,smišljeno novo
Dinkova špilja,preuzeto kao lokalni naziv
Ivančeva pećina,preuzeto sa karte
Jama na Malom vrvu 2,smišljeno novo
Propuh,smišljeno novo
Neprijatelji,smišljeno novo
Galileova jama,smišljeno novo
"I konje ubijaju, zar ne?",smišljeno novo
PT 69,smišljeno novo
M2,smišljeno novo
Zečev ponor,preuzeto kao lokalni naziv
Srzentuša,smišljeno novo
Golublja jama,preuzeto kao lokalni naziv
Pećina Violica,preuzeto kao lokalni naziv
Vudu čajld,smišljeno novo
Košuljica,smišljeno novo
Špilja Orhideja,smišljeno novo
Smrdljiva jama smrti,smišljeno novo
Pećina na Bačvarici,smišljeno prema toponimu
Ostrmica špilja,smišljeno prema toponimu
Kotluša,preuzeto kao lokalni naziv
J jama,smišljeno novo
Šoića pećina,preuzeto kao lokalni naziv
Puhotnica,smišljeno novo
Jama u Malim Sapcima 1,smišljeno prema toponimu
Skočifiks,smišljeno novo
Himenjača,smišljeno novo
Pećina Lozari,preuzeto kao lokalni naziv
Potok jama,smišljeno prema toponimu
Branisavljevića pećinica,smišljeno prema toponimu
Međeđa jama,preuzeto iz literature
Todorčeva pećina,preuzeto kao lokalni naziv
Dočina špilja,preuzeto kao lokalni naziv
Jama kod Krmarice,smišljeno prema toponimu
"Jama kod Lukine jame br. 5, Zidna jama",smišljeno novo
Jametina pod stijenom,preuzeto kao lokalni naziv
Prva poštena - Jama u Rastovcu,smišljeno prema toponimu
Kunina jama,smišljeno novo
Špilja u uvali Oštarije,smišljeno prema toponimu
Jama na gredi,smišljeno novo
Medina kupelj,smišljeno novo
Sivčeva jama,smišljeno novo
Golubnica,preuzeto kao lokalni naziv
Golubinka pod Marasovcem,smišljeno prema toponimu
Zločin i kazna,smišljeno novo
Crikvena 05-1004,smišljeno novo
Stipina jama,smišljeno novo
Golubnjača,preuzeto kao lokalni naziv
Trocjevka,smišljeno novo
Vulkano,smišljeno novo
Konac,smišljeno prema toponimu
Galicara,smišljeno novo
Malfi,smišljeno novo
Sedrena špilja iza mlina,smišljeno novo
Jelenko,smišljeno novo
Čudna špilja,smišljeno novo
